"","PlayerID","SeasonID","MatchID","Date","HomeAway","WinLoss","PlayerStyle","PlayerLR","OppStyle","OppLR","PlayerSets","OppSets","GameID","PlayerGames","OppGames","Server","PointID","PlayerPoints","OppPoints","ServeResult","ServeLocation","ReturnLocation","Result","PointWinner","FinalShotType","FinalForeBack","FinalCrossLine","PenumltimateShotType","PenumltimateForeBack","PenumltimateCrossLine","NetPlay","PointLength","ErrorPosition","Comments"
"1","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"O","-",0,0,"F","B","C","U","P","T","F","C","-","-","-","-","S","N","2nd Match on Court 2"
"2","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"O","-",1,0,"D","","","D","P","","","","-","-","-","-","S","",""
"3","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"O","-",2,0,"F","B","C","F","P","T","F","L","-","-","-","-","M","N",""
"4","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"O","-",3,0,"F","B","L","U","O","T","F","C","-","-","-","-","M","L",""
"5","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"O","-",3,1,"D","","","D","P","","","","-","-","-","-","S","",""
"6","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"P","-",0,0,"F","C","","A","P","","","","-","-","-","-","S","",""
"7","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"P","-",1,0,"F","W","C","W","P","T","F","L","-","-","-","-","S","",""
"8","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"P","-",2,0,"F","W","","A","P","","","","-","-","-","-","S","",""
"9","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"P","-",3,0,"S","W","C","U","P","T","F","L","-","-","-","-","S","L",""
"10","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,0,"O","-",0,0,"F","W","C","F","O","S","B","C","-","-","-","-","L","N",""
"11","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,0,"O","-",0,1,"F","C","C","U","O","T","F","L","-","-","-","-","M","W",""
"12","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,0,"O","-",0,2,"D","","","D","P","","","","-","-","-","-","S","",""
"13","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,0,"O","-",1,2,"F","B","C","U","P","T","B","L","-","-","-","-","M","L",""
"14","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,0,"O","-",2,2,"S","W","C","U","P","T","F","C","-","-","-","-","M","L",""
"15","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,0,"O","-",3,2,"D","","","D","P","","","","-","-","-","-","S","",""
"16","Hermehr Kaur","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",3,0,"P","-",0,0,"S","B","C","U","O","S","F","L","-","-","-","-","L","N",""
