MatchID,SeasonID,PlayerID,MatchName,MatchDate,HomeAway,WinLoss,PlayerStyle,PlayerLR,OpponentStyle,OpponentLR,Comment
1,12,10114041315,"BYU Invitational",2012-09-21,H,L,OB,R,OB,R,NULL
2,12,11301041301,"October 19th Practice",2012-10-19,H,W,OB,R,DB,R,NULL
3,12,10114041315,"October 19th Practice",2012-10-19,H,W,OB,R,OB,R,NULL
4,12,11908051305,"October 19th Practice",2012-10-19,H,L,OB,R,OB,R,NULL
5,12,11601210121,"October 19th Practice",2012-10-19,H,L,OB,R,OB,R,NULL
6,54,10715180114,"Air Force",2013-02-02,H,W,AC,R,OB,R,NULL
7,54,10715180114,"Santa Clara",2013-02-09,H,W,OB,R,OB,R,NULL
8,54,10715180114,"San Diego",2013-03-09,H,L,OB,R,OB,NULL,NULL
9,54,10715180114,"New Mexico",2013-03-16,H,W,OB,R,OB,R,NULL
10,54,10715180114,"Saint Mary's",2013-03-30,H,W,OB,R,OB,R,NULL
11,54,11901180618,"Air Force",2010-02-02,H,W,OB,L,OB,R,NULL
12,54,11901180618,"Santa Clara",2013-02-09,H,W,OB,L,OB,R,NULL
13,54,11901180618,"San Diego",2013-03-09,H,W,OB,L,OB,R,NULL
14,54,11901180618,Utah,2013-02-23,H,W,OB,L,OB,R,NULL
15,54,11901180618,"Saint Mary's",2013-03-30,H,W,OB,L,DB,L,NULL
16,54,11605011015,"Air Force",2013-02-02,H,W,OB,R,OB,R,NULL
17,54,11605011015,"Santa Clara",2013-02-09,H,L,OB,R,OB,R,NULL
18,54,11605011015,"San Diego",2013-03-09,H,W,AC,R,AC,R,NULL
19,54,11605011015,UNLV,2013-02-15,H,W,OB,R,OB,R,NULL
20,54,11605011015,Utah,2013-02-23,H,L,OB,R,OB,R,NULL
21,54,10321121105,"Air Force",2012-02-02,H,W,OB,R,OB,R,NULL
22,54,10321121105,"Santa Clara",2013-02-09,H,W,OB,R,OB,R,NULL
23,54,10321121105,"San Diego",2013-03-09,H,W,AC,R,AC,R,NULL
24,54,10321121105,UNLV,2013-02-15,H,W,OB,R,OB,R,NULL
25,54,11101231601,"Air Force",2013-02-02,H,L,AC,R,AC,R,NULL
26,54,11101231601,"Santa Clara",2013-02-09,H,W,OB,R,OB,R,NULL
27,54,11101231601,"San Diego",2013-03-09,H,W,OB,R,OB,R,NULL
28,54,11101231601,UNLV,2013-02-15,H,W,OB,R,OB,R,NULL
29,54,11101231601,"New Mexico",2013-03-16,H,W,OB,R,DB,L,NULL
30,54,11101231601,Utah,2013-02-23,H,W,OB,R,OB,R,NULL
