"","PlayerID","SeasonID","MatchID","Date","HomeAway","WinLoss","PlayerStyle","PlayerLR","OppStyle","OppLR","PlayerSets","OppSets","GameID","PlayerGames","OppGames","Server","PointID","PlayerPoints","OppPoints","ServeResult","ServeLocation","ReturnLocation","Result","PointWinner","FinalShotType","FinalForeBack","FinalCrossLine","PenumltimateShotType","PenumltimateForeBack","PenumltimateCrossLine","NetPlay","PointLength","ErrorPosition","Comments"
"1","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"p","-",0,0,"S","W","C","W","P","T","F","C","-","-","-","-","S","","NULL"
"2","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"p","-",1,0,"S","B","L","W","P","T","F","L","-","-","-","-","S","","NULL"
"3","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"p","-",2,0,"F","B","C","W","P","T","F","C","-","-","-","-","S","","NULL"
"4","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"p","-",3,0,"F","C","L","U","O","T","B","C","-","-","-","-","S","","NULL"
"5","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"p","-",3,1,"F","B","C","U","P","O","F","C","-","-","-","-","S","W","NULL"
"6","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"O","-",0,0,"S","B","L","U","O","S","F","C","-","-","-","-","S","L","NULL"
"7","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"O","-",0,1,"F","B","C","W","P","T","F","C","-","-","-","-","S","","NULL"
"8","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"O","-",1,1,"F","B","C","U","O","T","F","C","-","-","-","-","S","N","NULL"
"9","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"O","-",1,2,"F","B","C","U","O","T","F","C","-","-","-","-","S","N","NULL"
"10","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"O","-",1,3,"F","B","C","U","O","T","F","C","-","-","-","-","S","N","NULL"
"11","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,1,"P","-",0,0,"F","B","C","U","P","T","F","C","-","-","-","-","S","N","NULL"
"12","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,1,"P","-",1,0,"S","W","C","W","P","T","F","L","-","-","-","-","S","","NULL"
"13","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,1,"P","-",2,0,"F","C","L","W","P","T","F","L","-","-","-","-","S","","NULL"
"14","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,1,"P","-",3,0,"F","B","L","U","O","S","B","C","-","-","-","-","S","N","NULL"
"15","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,1,"P","-",3,1,"F","C","L","W","P","T","F","C","-","-","-","-","M","","NULL"
"16","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,1,"O","-",0,0,"S","W","C","W","O","T","F","L","-","-","-","-","S","","NULL"
"17","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,1,"O","-",0,1,"D","","","D","P","","","","-","-","-","-","","","NULL"
"18","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,1,"O","-",1,1,"F","C","L","U","P","S","F","C","-","-","-","-","S","N","NULL"
"19","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,1,"O","-",2,1,"F","W","C","W","O","T","F","C","-","-","-","-","S","","NULL"
"20","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,1,"O","-",2,2,"F","C","L","W","P","T","F","L","-","-","-","-","S","","NULL"
"21","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,1,"O","-",3,2,"F","C","C","W","O","T","F","C","-","-","-","-","S","","NULL"
"22","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",2,1,"O","-",3,3,"D","","","D","P","","","","-","-","-","-","","","NULL"
"23","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",3,1,"P","-",0,0,"F","C","L","W","P","S","F","L","-","-","-","-","S","","NULL"
"24","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",3,1,"P","-",1,0,"F","C","L","F","P","T","F","L","-","-","-","-","M","N","NULL"
"25","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",3,1,"P","-",2,0,"F","B","L","U","O","O","B","C","-","-","-","-","S","L","NULL"
"26","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",3,1,"P","-",2,1,"F","W","C","U","O","T","F","C","-","-","-","-","S","N","NULL"
"27","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",3,1,"P","-",2,2,"F","W","L","F","P","O","B","C","-","-","-","-","S","L","NULL"
"28","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",3,1,"P","-",3,2,"F","","","A","P","","","","-","-","-","-","","","NULL"
"29","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",4,1,"O","-",0,0,"S","B","L","U","P","T","F","C","-","-","-","-","S","L","NULL"
"30","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",4,1,"O","-",1,0,"F","B","L","U","P","T","B","C","-","-","-","-","S","N","NULL"
"31","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",4,1,"O","-",2,0,"F","B","C","W","O","T","F","L","-","-","-","-","M","","NULL"
"32","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",4,1,"O","-",2,1,"S","B","L","U","O","S","B","C","-","-","-","-","S","N","NULL"
"33","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",4,1,"O","-",2,2,"F","B","C","W","P","T","F","C","-","-","-","-","S","","NULL"
"34","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",4,1,"O","-",3,2,"F","B","C","W","P","T","F","C","-","-","-","-","S","","NULL"
"35","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",5,1,"P","-",0,0,"F","B","L","U","O","T","B","L","-","-","-","-","S","","NULL"
"36","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",5,1,"P","-",0,1,"S","W","C","W","P","T","F","C","-","-","-","-","S","","NULL"
"37","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",5,1,"P","-",1,1,"F","C","C","W","P","T","F","L","-","-","-","-","S","","NULL"
"38","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",5,1,"P","-",2,1,"S","W","L","U","P","T","F","C","-","-","-","-","S","L","NULL"
"39","Samantha Smith","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",5,1,"P","-",3,1,"F","C","C","W","P","T","F","C","-","-","-","-","S","","NULL"
