"","PlayerID","SeasonID","MatchID","Date","HomeAway","WinLoss","PlayerStyle","PlayerLR","OppStyle","OppLR","PlayerSets","OppSets","GameID","PlayerGames","OppGames","Server","PointID","PlayerPoints","OppPoints","ServeResult","ServeLocation","ReturnLocation","Result","PointWinner","FinalShotType","FinalForeBack","FinalCrossLine","PenumltimateShotType","PenumltimateForeBack","PenumltimateCrossLine","NetPlay","PointLength","ErrorPosition","Comments"
"1","Kate Cusick","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"P","-",0,0,"F","B","C","U","P","T","F","C","-","-","-","-","S","",""
"2","Kate Cusick","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"P","-",1,1,"F","B","C","U","P","T","F","C","-","-","-","-","S","",""
"3","Kate Cusick","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"P","-",2,2,"F","B","C","U","P","T","B","C","-","-","-","-","S","",""
"4","Kate Cusick","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",0,0,"P","-",3,2,"S","C","C","U","P","T","F","L","-","-","-","-","S","",""
"5","Kate Cusick","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"O","-",0,0,"F","C","C","U","O","T","F","C","-","-","-","-","S","","Missed the next point"
"6","Kate Cusick","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"O","-",1,1,"S","W","C","U","O","S","B","C","-","-","-","-","S","",""
"7","Kate Cusick","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"O","-",1,2,"F","B","C","U","P","T","B","C","-","-","-","-","S","",""
"8","Kate Cusick","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"O","-",2,2,"F","B","L","U","O","T","F","C","-","-","-","-","S","",""
"9","Kate Cusick","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"O","-",2,3,"D","","","D","P","","","","-","-","-","-","","",""
"10","Kate Cusick","-","-",2018-01-26,"Home","Win","-","R","-","R",0,0,"-",1,0,"O","-",3,3,"F","B","C","U","O","S","B","L","-","-","-","-","S","",""
