,PlayerID,SeasonID,MatchID,Date,HomeAway,WinLoss,PlayerStyle,PlayerLR,OppStyle,OppLR,PlayerSets,OppSets,GameID,PlayerGames,OppGames,Server,PointID,PlayerPoints,OppPoints,ServeResult,ServeLocation,ReturnLocation,Result,PointWinner,FinalShotType,FinalForeBack,FinalCrossLine,PenumltimateShotType,PenumltimateForeBack,PenumltimateCrossLine,NetPlay,PointLength,ErrorPosition,Comments
1,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,0,0,p,-,0,0,S,W,C,W,p,T,F,C,-,-,-,-,S,,
2,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,0,0,p,-,1,0,S,B,L,W,p,T,F,L,-,-,-,-,S,,
3,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,0,0,p,-,2,0,F,B,C,W,p,T,F,C,-,-,-,-,S,,
4,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,0,0,p,-,3,0,F,C,L,U,O,T,B,C,-,-,-,-,S,,
5,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,0,0,p,-,3,1,F,B,C,U,p,O,F,C,-,-,-,-,S,W,
6,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,1,0,O,-,0,0,S,B,L,U,O,S,F,C,-,-,-,-,S,L,
7,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,1,0,O,-,0,1,F,B,C,W,p,T,F,C,-,-,-,-,S,,
8,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,1,0,O,-,1,1,F,B,C,U,O,T,F,C,-,-,-,-,S,N,
9,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,1,0,O,-,1,2,F,B,C,U,O,T,F,C,-,-,-,-,S,N,
10,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,1,0,O,-,1,3,F,B,C,U,O,T,F,C,-,-,-,-,S,N,
11,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,1,1,P,-,0,0,F,B,C,U,p,T,F,C,-,-,-,-,S,N,
12,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,1,1,P,-,1,0,S,W,C,W,p,T,F,L,-,-,-,-,S,,
13,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,1,1,P,-,2,0,F,C,L,W,p,T,F,L,-,-,-,-,S,,
14,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,1,1,P,-,3,0,F,B,L,U,O,S,B,C,-,-,-,-,S,N,
15,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,1,1,P,-,3,1,F,C,L,W,p,T,F,C,-,-,-,-,M,,
16,Samantha Smith,-,-,1/26/2018,Home,Win,-,R,-,R,0,0,-,2,1,O,-,0,0,S,W,C,W,O,T,F,L,-,-,-,-,S,,
