PointID,MatchID,PlayerID,PlayerSets,OpponentSets,PlayerGames,OpponentGames,Server,PlayerPoints,OpponentPoints,ServeResult,ServeLocation,Returns,PointResult,PointWinner,ShotType,ForeBack,CrossLine,PointLength,ErrorPosition,Comment
383,1,10114041315,0,0,0,0,P,0,0,F,B,N,NULL,P,NULL,NULL,NULL,NULL,NULL,NULL
384,1,10114041315,0,0,0,0,P,1,0,F,B,C,U,O,T,B,C,NULL,L,NULL
385,1,10114041315,0,0,0,0,P,1,1,S,W,N,NULL,P,NULL,NULL,NULL,NULL,NULL,NULL
386,1,10114041315,0,0,0,0,P,2,1,F,B,C,U,O,T,B,C,NULL,N,NULL
387,1,10114041315,0,0,0,0,P,2,2,F,C,C,U,P,T,F,NULL,NULL,N,NULL
388,1,10114041315,0,0,0,0,P,3,2,F,W,C,U,P,T,B,C,NULL,L,NULL
389,1,10114041315,0,0,1,0,O,0,0,F,C,C,U,O,T,B,C,NULL,N,NULL
390,1,10114041315,0,0,1,0,O,0,1,D,NULL,NULL,D,P,NULL,NULL,NULL,NULL,NULL,NULL
391,1,10114041315,0,0,1,0,O,1,1,F,C,C,U,O,T,F,NULL,NULL,L,NULL
392,1,10114041315,0,0,1,0,O,1,2,F,W,N,NULL,O,NULL,NULL,NULL,NULL,L,NULL
393,1,10114041315,0,0,1,0,O,1,3,S,C,N,NULL,O,NULL,NULL,NULL,NULL,L,NULL
394,1,10114041315,0,0,1,1,P,0,0,S,B,C,F,O,T,F,L,NULL,N,NULL
395,1,10114041315,0,0,1,1,P,0,1,F,C,C,U,O,T,F,NULL,NULL,L,NULL
396,1,10114041315,0,0,1,1,P,0,2,S,B,N,NULL,P,NULL,NULL,NULL,NULL,N,NULL
397,1,10114041315,0,0,1,1,P,1,2,F,W,C,F,P,S,F,L,NULL,N,NULL
398,1,10114041315,0,0,1,1,P,2,2,S,B,L,U,O,T,F,C,NULL,N,NULL
399,1,10114041315,0,0,1,1,P,2,3,F,W,C,U,P,T,F,C,NULL,N,NULL
400,1,10114041315,0,0,1,1,P,3,3,D,NULL,NULL,D,O,NULL,NULL,NULL,NULL,NULL,NULL
401,1,10114041315,0,0,1,1,P,3,4,D,NULL,NULL,D,O,NULL,NULL,NULL,NULL,NULL,NULL
402,1,10114041315,0,0,1,2,O,0,0,F,C,N,NULL,O,NULL,NULL,NULL,NULL,L,NULL
403,1,10114041315,0,0,1,2,O,0,1,S,W,L,F,P,T,F,C,NULL,L,NULL
404,1,10114041315,0,0,1,2,O,1,1,S,B,N,NULL,O,NULL,NULL,NULL,NULL,N,NULL
405,1,10114041315,0,0,1,2,O,1,2,F,W,C,W,O,T,F,NULL,NULL,W,NULL
406,1,10114041315,0,0,1,2,O,1,3,F,W,C,U,P,S,B,NULL,NULL,N,NULL
407,1,10114041315,0,0,1,2,O,2,3,S,W,N,NULL,O,NULL,NULL,NULL,NULL,N,NULL
408,1,10114041315,0,0,1,3,P,0,0,F,W,C,W,P,T,F,C,NULL,W,NULL
409,1,10114041315,0,0,1,3,P,1,0,S,B,C,U,O,S,B,C,NULL,N,NULL
410,1,10114041315,0,0,1,3,P,1,1,F,NULL,NULL,A,P,NULL,NULL,NULL,NULL,NULL,NULL
411,1,10114041315,0,0,1,3,P,2,1,S,W,C,U,P,T,B,C,NULL,L,NULL
412,1,10114041315,0,0,1,3,P,3,1,F,W,C,U,O,S,B,NULL,NULL,N,NULL
413,1,10114041315,0,0,1,3,P,3,2,S,B,N,NULL,P,NULL,NULL,NULL,NULL,L,NULL
414,1,10114041315,0,0,2,3,O,0,0,D,NULL,NULL,D,P,NULL,NULL,NULL,NULL,NULL,NULL
415,1,10114041315,0,0,2,3,O,1,0,F,W,L,U,P,T,F,L,NULL,L,NULL
416,1,10114041315,0,0,2,3,O,2,0,S,C,C,U,P,T,F,C,NULL,L,NULL
417,1,10114041315,0,0,2,3,O,3,0,S,W,N,NULL,O,NULL,NULL,NULL,NULL,L,NULL
418,1,10114041315,0,0,2,3,O,3,1,F,C,C,U,O,S,B,L,NULL,L,NULL
419,1,10114041315,0,0,2,3,O,3,2,F,W,N,NULL,O,NULL,NULL,NULL,NULL,L,NULL
420,1,10114041315,0,0,2,3,O,3,3,F,W,N,NULL,O,NULL,NULL,NULL,NULL,L,NULL
421,1,10114041315,0,0,2,3,O,3,4,F,C,N,NULL,O,NULL,NULL,NULL,NULL,L,NULL
422,1,10114041315,0,0,2,4,P,0,0,S,C,L,U,P,T,B,C,NULL,N,NULL
423,1,10114041315,0,0,2,4,P,1,0,S,W,N,NULL,P,NULL,NULL,NULL,NULL,L,NULL
424,1,10114041315,0,0,2,4,P,2,0,S,W,C,U,P,S,F,C,NULL,N,NULL
425,1,10114041315,0,0,2,4,P,2,1,F,B,N,NULL,P,NULL,NULL,NULL,NULL,L,NULL
426,1,10114041315,0,0,2,4,P,3,1,F,W,C,F,O,T,F,NULL,NULL,N,NULL
427,1,10114041315,0,0,2,4,P,3,2,F,W,C,U,P,T,F,C,NULL,N,NULL
428,1,10114041315,0,0,3,4,O,0,0,F,C,N,NULL,O,NULL,NULL,NULL,NULL,L,NULL
429,1,10114041315,0,0,3,4,O,0,1,S,W,N,NULL,O,NULL,NULL,NULL,NULL,L,"head lifting on backhand"
430,1,10114041315,0,0,3,4,O,0,2,F,W,C,U,O,T,B,C,NULL,N,NULL
431,1,10114041315,0,0,3,4,O,0,3,D,NULL,NULL,D,P,NULL,NULL,NULL,NULL,NULL,NULL
432,1,10114041315,0,0,3,4,O,1,3,F,B,C,U,O,T,F,L,NULL,L,NULL
433,1,10114041315,0,0,3,5,P,0,0,S,W,C,U,O,T,F,C,NULL,N,NULL
434,1,10114041315,0,0,3,5,P,0,1,S,W,C,U,P,T,F,L,NULL,N,NULL
435,1,10114041315,0,0,3,5,P,1,1,F,C,C,U,O,T,F,C,NULL,L,NULL
436,1,10114041315,0,0,3,5,P,1,2,S,B,C,U,P,T,F,C,NULL,L,NULL
437,1,10114041315,0,0,3,5,P,2,2,F,W,L,U,P,T,F,C,NULL,L,NULL
438,1,10114041315,0,0,3,5,P,3,2,S,W,C,U,P,T,F,L,NULL,W,NULL
439,1,10114041315,0,0,4,5,O,0,0,S,C,C,U,P,T,F,C,NULL,L,NULL
440,1,10114041315,0,0,4,5,O,1,0,S,W,C,F,O,S,F,L,NULL,L,NULL
441,1,10114041315,0,0,4,5,O,1,1,S,C,N,NULL,O,NULL,NULL,NULL,NULL,L,NULL
442,1,10114041315,0,0,4,5,O,1,2,F,W,N,NULL,O,NULL,NULL,NULL,NULL,N,NULL
443,1,10114041315,0,0,4,5,O,1,3,F,W,C,U,P,T,F,C,NULL,L,NULL
444,1,10114041315,0,0,4,5,O,2,3,F,W,L,F,P,T,F,L,NULL,L,NULL
445,1,10114041315,0,0,4,5,O,3,3,F,B,N,NULL,O,NULL,NULL,NULL,NULL,L,NULL
446,1,10114041315,0,0,4,5,O,3,4,F,B,C,W,P,NULL,F,NULL,NULL,W,NULL
447,1,10114041315,0,0,4,5,O,4,4,F,B,C,U,O,T,F,C,NULL,W,NULL
448,1,10114041315,0,0,4,5,O,4,5,F,W,C,W,P,T,F,C,NULL,W,NULL
449,1,10114041315,0,0,4,5,O,5,5,F,C,C,F,O,T,F,C,NULL,N,NULL
450,1,10114041315,0,0,4,5,O,5,6,F,W,C,F,P,S,B,C,NULL,N,NULL
451,1,10114041315,0,0,4,5,O,6,6,F,B,N,NULL,O,NULL,B,NULL,NULL,N,NULL
452,1,10114041315,0,0,4,5,O,6,7,F,C,C,U,O,T,F,C,NULL,N,NULL
453,1,10114041315,0,1,4,5,P,0,0,F,W,N,NULL,P,NULL,NULL,NULL,NULL,L,NULL
454,1,10114041315,0,1,4,5,P,1,0,F,W,C,U,P,T,F,C,NULL,N,NULL
455,1,10114041315,0,1,4,5,P,2,0,S,B,C,W,P,T,F,C,NULL,W,NULL
456,1,10114041315,0,1,4,5,P,3,0,F,W,C,U,P,T,F,C,NULL,L,NULL
457,1,10114041315,0,1,1,0,O,0,0,F,C,N,NULL,O,NULL,B,NULL,NULL,L,NULL
458,1,10114041315,0,1,1,0,O,0,1,F,B,C,W,P,S,F,NULL,NULL,W,NULL
459,1,10114041315,0,1,1,0,O,1,1,S,B,C,U,O,T,F,C,NULL,L,NULL
460,1,10114041315,0,1,1,0,O,1,2,F,C,N,NULL,O,NULL,F,NULL,NULL,N,NULL
461,1,10114041315,0,1,1,0,O,1,3,F,W,C,U,P,T,B,C,NULL,N,NULL
462,1,10114041315,0,1,1,1,P,0,0,F,W,C,W,P,NULL,F,NULL,NULL,W,NULL
463,1,10114041315,0,1,1,1,P,1,0,F,W,N,NULL,P,NULL,B,NULL,NULL,N,NULL
464,1,10114041315,0,1,1,1,P,2,0,F,W,C,U,O,T,B,C,NULL,N,NULL
465,1,10114041315,0,1,1,1,P,2,1,F,C,C,U,O,T,B,C,NULL,L,NULL
466,1,10114041315,0,1,1,1,P,2,2,S,W,C,U,O,T,B,C,NULL,W,NULL
467,1,10114041315,0,1,1,1,P,2,3,F,W,C,U,O,T,F,C,NULL,N,NULL
468,1,10114041315,0,1,1,2,O,0,0,F,C,C,W,P,T,F,NULL,NULL,W,NULL
469,1,10114041315,0,1,1,2,O,1,0,S,W,C,F,O,S,B,L,NULL,N,NULL
470,1,10114041315,0,1,1,2,O,1,1,F,W,C,U,O,O,F,NULL,NULL,N,NULL
471,1,10114041315,0,1,1,2,O,1,2,F,B,N,F,O,NULL,NULL,NULL,NULL,L,NULL
472,1,10114041315,0,1,1,2,O,1,3,S,B,C,U,P,T,F,C,NULL,N,NULL
473,1,10114041315,0,1,1,2,O,2,3,F,W,C,U,O,T,F,C,NULL,W,NULL
474,1,10114041315,0,1,1,2,O,3,3,F,C,N,NULL,O,NULL,F,NULL,NULL,L,NULL
475,1,10114041315,0,1,1,2,O,3,4,F,W,C,U,O,S,B,L,NULL,W,NULL
476,1,10114041315,0,1,1,3,P,0,0,F,W,C,W,P,T,F,C,NULL,W,NULL
477,1,10114041315,0,1,1,3,P,1,0,S,W,C,W,O,T,F,C,NULL,W,NULL
478,1,10114041315,0,1,1,3,P,1,1,F,B,N,NULL,P,NULL,B,NULL,NULL,N,NULL
479,1,10114041315,0,1,1,3,P,2,1,S,W,C,U,O,S,B,C,NULL,N,NULL
480,1,10114041315,0,1,1,3,P,2,2,F,W,C,U,O,T,F,C,NULL,L,NULL
481,1,10114041315,0,1,1,3,P,2,3,F,W,C,U,O,T,F,C,NULL,L,NULL
482,1,10114041315,0,1,1,4,O,0,0,F,B,C,U,O,T,F,C,NULL,L,NULL
483,1,10114041315,0,1,1,4,O,0,1,F,W,N,NULL,O,NULL,B,NULL,NULL,L,NULL
484,1,10114041315,0,1,1,4,O,0,2,F,W,C,W,O,S,F,NULL,NULL,W,NULL
485,1,10114041315,0,1,1,4,O,0,3,F,B,L,U,P,S,F,NULL,NULL,L,NULL
486,1,10114041315,0,1,1,4,O,1,3,F,C,N,NULL,O,NULL,B,NULL,NULL,L,NULL
487,1,10114041315,0,1,1,5,P,0,0,S,W,C,U,P,T,F,L,NULL,N,NULL
488,1,10114041315,0,1,1,5,P,1,0,S,W,C,W,P,T,F,C,NULL,W,NULL
489,1,10114041315,0,1,1,5,P,2,0,F,W,N,NULL,P,NULL,F,NULL,NULL,N,NULL
490,1,10114041315,0,1,1,5,P,3,0,F,W,C,U,P,T,B,C,NULL,N,NULL
491,1,10114041315,0,1,2,5,O,0,0,S,C,N,NULL,O,NULL,B,NULL,NULL,L,NULL
492,1,10114041315,0,1,2,5,O,0,1,F,W,C,W,P,T,F,C,NULL,W,NULL
493,1,10114041315,0,1,2,5,O,1,1,F,C,C,W,P,S,NULL,L,NULL,W,NULL
494,1,10114041315,0,1,2,5,O,2,1,F,C,C,U,P,T,B,C,NULL,L,NULL
495,1,10114041315,0,1,2,5,O,3,1,F,C,C,U,P,T,F,C,NULL,L,NULL
496,1,10114041315,0,1,3,5,P,0,0,F,W,C,U,O,T,B,C,NULL,L,NULL
497,1,10114041315,0,1,3,5,P,0,1,F,W,C,U,O,T,F,C,NULL,N,NULL
498,1,10114041315,0,1,3,5,P,0,2,S,B,L,F,P,T,F,L,NULL,N,NULL
499,1,10114041315,0,1,3,5,P,1,2,F,W,C,W,P,S,F,NULL,NULL,W,NULL
500,1,10114041315,0,1,3,5,P,2,2,F,C,C,U,P,T,F,L,NULL,L,NULL
501,1,10114041315,0,1,3,5,P,3,2,F,W,C,W,O,S,F,NULL,NULL,W,NULL
502,1,10114041315,0,1,3,5,P,3,3,F,W,C,W,P,S,F,NULL,NULL,W,NULL
503,1,10114041315,0,1,3,5,P,4,3,S,W,C,U,O,T,F,C,NULL,L,NULL
504,1,10114041315,0,1,3,5,P,4,4,S,C,C,U,P,T,F,C,NULL,L,NULL
505,1,10114041315,0,1,3,5,P,5,4,S,C,C,U,O,T,F,C,NULL,N,NULL
506,1,10114041315,0,1,3,5,P,5,5,F,W,N,NULL,P,NULL,F,NULL,NULL,N,NULL
507,1,10114041315,0,1,3,5,P,6,5,F,C,C,U,O,T,F,C,NULL,L,NULL
