player           ID,season  ID,match    ID,match date,home/away?,win/loss?,player style,player L/R?,opp    style,opp L/R?,player sets,opp. sets,game ID,player games,opp. games,server,point ID,player point,opp. point,serve result,serve location,return: cross/line,result,point winner,shot type,fore/back,cross/line,point length,error  pos.,comments
Hermehr Kaur,,,2018-01-26,HOME,Win,,R,,R,0,0,,0,0,O,,0,0,F,B,C,U,P,T,F,C,S,N,2nd Match on Court 2
,,,,,,,,,,0,0,,0,0,O,,1,0,D,,,D,P,,,,S,,
,,,,,,,,,,0,0,,0,0,O,,2,0,F,B,C,F,P,T,F,L,M,N,
,,,,,,,,,,0,0,,0,0,O,,3,0,F,B,L,U,O,T,F,C,M,L,
,,,,,,,,,,0,0,,0,0,O,,3,1,D,,,D,P,,,,S,,
,,,,,,,,,,0,0,,1,0,P,,0,0,F,C,,A,P,,,,S,,
,,,,,,,,,,0,0,,1,0,P,,1,0,F,W,C,W,P,T,F,L,S,,
,,,,,,,,,,0,0,,1,0,P,,2,0,F,W,,A,P,,,,S,,
,,,,,,,,,,0,0,,1,0,P,,3,0,S,W,C,U,P,T,F,L,S,L,
,,,,,,,,,,0,0,,2,0,O,,0,0,F,W,C,F,O,S,B,C,L,N,
,,,,,,,,,,0,0,,2,0,O,,0,1,F,C,C,U,O,T,F,L,M,W,
,,,,,,,,,,0,0,,2,0,O,,0,2,D,,,D,P,,,,S,,
,,,,,,,,,,0,0,,2,0,O,,1,2,F,B,C,U,P,T,B,L,M,L,
,,,,,,,,,,0,0,,2,0,O,,2,2,S,W,C,U,P,T,F,C,M,L,
,,,,,,,,,,0,0,,2,0,O,,3,2,D,,,D,P,,,,S,,
,,,,,,,,,,0,0,,3,0,P,,0,0,S,B,C,U,O,S,F,L,L,N,
,,,,,,,,,,0,0,,3,0,P,,0,1,S,W,C,U,P,T,F,C,S,L,
,,,,,,,,,,0,0,,3,0,P,,1,1,S,B,C,U,P,T,F,C,M,W,
,,,,,,,,,,0,0,,3,0,P,,2,1,F,W,C,W,P,T,F,C,M,,
,,,,,,,,,,0,0,,3,0,P,,3,1,S,B,C,U,P,T,F,C,M,L,
,,,,,,,,,,0,0,,4,0,O,,0,0,F,B,C,U,O,T,F,L,L,L,
,,,,,,,,,,0,0,,4,0,O,,0,1,S,B,L,U,P,T,F,L,S,N,
,,,,,,,,,,0,0,,4,0,O,,1,1,D,,,D,P,,,,S,,
,,,,,,,,,,0,0,,4,0,O,,2,1,F,B,C,U,P,T,B,C,M,W,
,,,,,,,,,,0,0,,4,0,O,,3,1,F,W,C,W,P,T,F,C,M,,
